# date irTemp ambientTemp pressure humidity acceleration(x y z) magnetometer(x y z) gyroscope(x y z)
2014-5-23T17:16:22.700 34.41 29.28 511.09 29.90 0.56 0.67 0.78 0.00 0.00 0.00 2.39 1.51 0.05
2014-5-23T17:16:23.702 23.75 29.28 511.11 29.90 -0.03 0.06 1.00 -8.58 1.10 7.90 2.52 1.85 -0.04
2014-5-23T17:16:24.703 23.75 29.28 511.11 29.90 -0.03 0.06 1.00 -8.58 1.10 7.90 2.52 1.85 -0.04
2014-5-23T17:16:25.707 25.01 29.28 511.10 29.90 -0.03 0.06 1.03 -8.48 1.10 7.72 2.57 1.72 -0.01
2014-5-23T17:16:26.709 26.94 29.28 496.61 29.90 -0.02 0.08 1.02 -8.45 1.25 7.63 2.14 1.76 -0.14
2014-5-23T17:16:27.712 27.95 29.31 496.64 29.90 -0.03 0.06 1.00 -8.45 1.25 7.63 2.09 1.88 -0.24
2014-5-23T17:16:28.713 27.95 29.31 496.64 29.90 -0.03 0.06 1.00 -8.45 1.25 7.63 2.09 1.88 -0.24
2014-5-23T17:16:29.714 28.00 29.31 503.89 29.90 -0.03 0.08 1.02 -8.39 1.25 7.66 2.45 1.81 -0.18
2014-5-23T17:16:30.716 28.20 29.31 503.90 29.90 -0.02 0.08 1.02 -8.39 1.25 7.66 2.33 1.64 -0.04
2014-5-23T17:16:31.718 28.29 29.31 460.42 29.90 -0.02 0.06 1.02 -8.48 1.10 7.66 2.30 1.98 -0.21
2014-5-23T17:16:32.720 28.42 29.31 460.43 29.90 -0.02 0.06 1.02 -8.54 1.16 7.66 2.31 1.88 -0.04
2014-5-23T17:16:33.721 28.04 29.31 467.67 29.90 -0.05 0.05 1.00 -8.54 1.16 7.66 2.28 1.79 -0.22
2014-5-23T17:16:34.723 28.04 29.31 467.69 29.90 -0.05 0.05 1.00 -8.54 1.16 7.66 2.28 1.79 -0.22
2014-5-23T17:16:35.725 27.71 29.31 453.19 29.98 -0.02 0.06 1.00 -8.39 1.19 7.69 2.25 1.66 -0.08
2014-5-23T17:16:36.727 28.10 29.34 453.20 29.98 -0.03 0.06 1.03 -8.39 1.19 7.69 2.27 1.82 -0.04
2014-5-23T17:16:37.729 28.32 29.34 482.19 29.98 -0.02 0.06 1.03 -8.48 1.16 8.33 2.44 1.66 -0.04
2014-5-23T17:16:38.732 28.25 29.34 482.19 29.98 -0.03 0.06 1.00 -8.15 -2.29 7.81 -20.00 7.39 14.06
2014-5-23T17:16:39.734 28.32 29.34 438.71 29.98 -0.03 0.06 1.02 -8.15 -2.29 7.81 2.27 1.88 0.08
2014-5-23T17:16:40.735 28.32 29.34 438.72 29.98 -0.03 0.06 1.02 -8.15 -2.29 7.81 2.27 1.88 0.08
2014-5-23T17:16:41.736 31.39 29.34 438.72 29.98 -0.02 0.05 1.00 -14.71 6.32 4.58 2.43 1.69 -0.14
2014-5-23T17:16:42.738 28.08 29.34 460.46 29.98 -0.03 0.05 1.00 -14.71 6.32 4.58 2.34 1.49 -0.16
2014-5-23T17:16:43.740 28.14 29.34 460.46 29.98 -0.03 0.05 1.02 -14.62 6.13 4.61 2.29 1.63 0.01
2014-5-23T17:16:44.742 28.54 29.34 467.71 29.98 -0.03 0.06 1.00 -14.56 6.07 4.73 2.37 1.75 -0.03
2014-5-23T17:16:45.744 28.32 29.34 467.73 29.98 -0.03 0.06 1.02 -14.56 6.07 4.73 2.43 1.61 0.07
2014-5-23T17:16:46.746 28.77 29.38 409.75 29.98 -0.03 0.06 1.02 -14.74 6.16 4.85 2.53 1.50 -0.14
2014-5-23T17:16:47.748 28.77 29.38 409.74 29.98 -0.03 0.06 1.02 -14.74 6.16 4.85 2.53 1.50 -0.14
2014-5-23T17:16:48.749 28.64 29.38 453.22 29.98 -0.03 0.05 1.02 -14.50 6.23 5.13 2.31 1.62 0.10
2014-5-23T17:16:49.752 28.75 29.38 453.26 29.98 -0.03 0.06 1.02 -14.50 6.23 5.13 2.37 1.75 -0.18
2014-5-23T17:16:50.753 29.06 29.38 467.76 29.98 -0.02 0.06 1.00 -14.47 6.01 5.00 2.19 1.69 -0.03
2014-5-23T17:16:51.755 29.26 29.38 467.76 29.98 -0.03 0.05 1.02 -14.47 6.01 5.00 2.37 1.66 -0.17
2014-5-23T17:16:52.757 28.68 29.38 424.27 29.98 -0.02 0.06 1.02 -14.59 6.32 4.91 2.23 1.63 -0.04
2014-5-23T17:16:53.760 28.68 29.38 424.27 29.98 -0.02 0.06 1.02 -14.59 6.32 4.91 2.23 1.63 -0.04
2014-5-23T17:16:54.761 29.17 29.38 438.76 29.98 -0.03 0.05 1.02 -14.62 6.20 5.04 2.25 1.73 -0.08
2014-5-23T17:16:55.764 28.88 29.38 438.76 29.98 -0.03 0.06 1.03 -14.62 6.20 5.04 2.26 1.77 -0.12
2014-5-23T17:16:56.766 28.99 29.38 438.76 29.98 -0.03 0.05 1.00 -14.31 6.13 5.10 2.36 2.04 0.05
